+---------------------+---------------------+----------+--------------+---------------+----------------+-------------+
| Date                | Date                |    Close |   Buy Signal |   Sell Signal |   Buy and Hold |    Strategy |
|---------------------+---------------------+----------+--------------+---------------+----------------+-------------|
| 2000-05-22 00:00:00 | 2000-05-22 00:00:00 |  33.6064 |            0 |             0 |      0         |     0       |
| 2000-05-29 00:00:00 | 2000-05-29 00:00:00 |  37.6262 |            0 |             1 |      4.01987   |     4.01987 |
| 2000-06-05 00:00:00 | 2000-06-05 00:00:00 |  38.4762 |            0 |             1 |      4.86981   |     8.88968 |
| 2000-06-12 00:00:00 | 2000-06-12 00:00:00 |  37.4655 |            0 |             1 |      3.85911   |    12.7488  |
| 2000-06-19 00:00:00 | 2000-06-19 00:00:00 |  37.4195 |            0 |             1 |      3.81315   |    16.5619  |
| 2000-06-26 00:00:00 | 2000-06-26 00:00:00 |  38.0097 |            0 |             1 |      4.40335   |    20.9653  |
| 2000-07-03 00:00:00 | 2000-07-03 00:00:00 |  38.7969 |            0 |             1 |      5.19057   |    26.1559  |
| 2000-07-10 00:00:00 | 2000-07-10 00:00:00 |  39.9461 |            0 |             1 |      6.33976   |    32.4956  |
| 2000-07-17 00:00:00 | 2000-07-17 00:00:00 |  38.2683 |            0 |             1 |      4.66194   |    37.1576  |
| 2000-07-24 00:00:00 | 2000-07-24 00:00:00 |  36.0388 |            0 |             1 |      2.43249   |    39.5901  |
| 2000-07-31 00:00:00 | 2000-07-31 00:00:00 |  36.9352 |            0 |             1 |      3.32885   |    42.9189  |
| 2000-08-07 00:00:00 | 2000-08-07 00:00:00 |  37.6017 |            0 |             1 |      3.99538   |    46.9143  |
| 2000-08-14 00:00:00 | 2000-08-14 00:00:00 |  37.9121 |            0 |             1 |      4.30571   |    51.22    |
| 2000-08-21 00:00:00 | 2000-08-21 00:00:00 |  38.659  |            0 |             1 |      5.05267   |    56.2727  |
| 2000-08-28 00:00:00 | 2000-08-28 00:00:00 |  39.8542 |            0 |             1 |      6.24782   |    62.5205  |
| 2000-09-04 00:00:00 | 2000-09-04 00:00:00 |  39.3026 |            0 |             1 |      5.69622   |    68.2167  |
| 2000-09-11 00:00:00 | 2000-09-11 00:00:00 |  38.9118 |            0 |             1 |      5.30547   |    73.5222  |
| 2000-09-18 00:00:00 | 2000-09-18 00:00:00 |  37.9465 |            0 |             0 |      4.34015   |    77.8623  |
| 2000-09-25 00:00:00 | 2000-09-25 00:00:00 |  38.2371 |            0 |             0 |      4.6307    |    82.493   |
| 2000-10-02 00:00:00 | 2000-10-02 00:00:00 |  36.0461 |            0 |             0 |      2.43978   |    84.9328  |
| 2000-10-09 00:00:00 | 2000-10-09 00:00:00 |  35.239  |            0 |             0 |      1.63262   |    86.5654  |
| 2000-10-16 00:00:00 | 2000-10-16 00:00:00 |  35.8501 |            0 |             0 |      2.24376   |    88.8092  |
| 2000-10-23 00:00:00 | 2000-10-23 00:00:00 |  35.4465 |            0 |             0 |      1.84015   |    90.6493  |
| 2000-10-30 00:00:00 | 2000-10-30 00:00:00 |  37.3837 |            0 |             0 |      3.77739   |    94.4267  |
| 2000-11-06 00:00:00 | 2000-11-06 00:00:00 |  35.4235 |            0 |             0 |      1.8171    |    96.2438  |
| 2000-11-13 00:00:00 | 2000-11-13 00:00:00 |  35.5388 |            0 |             0 |      1.93242   |    98.1762  |
| 2000-11-20 00:00:00 | 2000-11-20 00:00:00 |  34.6393 |            0 |             0 |      1.03297   |    99.2092  |
| 2000-11-27 00:00:00 | 2000-11-27 00:00:00 |  33.6246 |            0 |             0 |      0.0182648 |    99.2275  |
| 2000-12-04 00:00:00 | 2000-12-04 00:00:00 |  34.4318 |            0 |             0 |      0.825424  |   100.053   |
| 2000-12-11 00:00:00 | 2000-12-11 00:00:00 |  33.6707 |            0 |             0 |      0.0643806 |   100.117   |
| 2000-12-18 00:00:00 | 2000-12-18 00:00:00 |  34.2879 |            0 |             0 |      0.681557  |   100.799   |
| 2000-12-25 00:00:00 | 2000-12-25 00:00:00 |  35.4926 |            0 |             0 |      1.88625   |   102.685   |
| 2001-01-01 00:00:00 | 2001-01-01 00:00:00 |  34.1257 |            0 |             0 |      0.519379  |   103.204   |
| 2001-01-08 00:00:00 | 2001-01-08 00:00:00 |  35.8633 |            0 |             0 |      2.25693   |   105.461   |
| 2001-01-15 00:00:00 | 2001-01-15 00:00:00 |  36.0486 |            0 |             0 |      2.44228   |   107.904   |
