+---------------------+---------------------+---------+--------------+---------------+----------------+-------------+
| Date                | Date                |   Close |   Buy Signal |   Sell Signal |   Buy and Hold |    Strategy |
|---------------------+---------------------+---------+--------------+---------------+----------------+-------------|
| 2018-06-18 00:00:00 | 2018-06-18 00:00:00 | 48.1789 |            0 |             0 |      0         |    0        |
| 2018-06-25 00:00:00 | 2018-06-25 00:00:00 | 47.2629 |            0 |             0 |     -0.916054  |   -0.916054 |
| 2018-07-02 00:00:00 | 2018-07-02 00:00:00 | 48.4461 |            0 |             0 |      0.267185  |   -0.648869 |
| 2018-07-09 00:00:00 | 2018-07-09 00:00:00 | 49.324  |            0 |             0 |      1.14507   |    0.496201 |
| 2018-07-16 00:00:00 | 2018-07-16 00:00:00 | 48.5415 |            0 |             0 |      0.362602  |    0.858803 |
| 2018-07-23 00:00:00 | 2018-07-23 00:00:00 | 46.6712 |            0 |             0 |     -1.50768   |   -0.64888  |
| 2018-07-30 00:00:00 | 2018-07-30 00:00:00 | 46.6712 |            0 |             0 |     -1.50768   |   -2.15656  |
| 2018-08-06 00:00:00 | 2018-08-06 00:00:00 | 47.0148 |            0 |             0 |     -1.16415   |   -3.32071  |
| 2018-08-13 00:00:00 | 2018-08-13 00:00:00 | 46.385  |            0 |             0 |     -1.79393   |   -5.11465  |
| 2018-08-20 00:00:00 | 2018-08-20 00:00:00 | 47.177  |            0 |             0 |     -1.00194   |   -6.11658  |
| 2018-08-27 00:00:00 | 2018-08-27 00:00:00 | 46.9289 |            0 |             0 |     -1.25003   |   -7.36662  |
| 2018-09-03 00:00:00 | 2018-09-03 00:00:00 | 45.4975 |            0 |             0 |     -2.68138   |  -10.048    |
| 2018-09-10 00:00:00 | 2018-09-10 00:00:00 | 46.156  |            0 |             0 |     -2.02296   |  -12.071    |
| 2018-09-17 00:00:00 | 2018-09-17 00:00:00 | 46.3277 |            0 |             0 |     -1.8512    |  -13.9222   |
| 2018-09-24 00:00:00 | 2018-09-24 00:00:00 | 46.8837 |            0 |             0 |     -1.29524   |  -15.2174   |
| 2018-10-01 00:00:00 | 2018-10-01 00:00:00 | 45.7546 |            0 |             0 |     -2.42428   |  -17.6417   |
| 2018-10-08 00:00:00 | 2018-10-08 00:00:00 | 44.3673 |            0 |             0 |     -3.81165   |  -21.4533   |
| 2018-10-15 00:00:00 | 2018-10-15 00:00:00 | 44.7022 |            0 |             0 |     -3.47676   |  -24.9301   |
| 2018-10-22 00:00:00 | 2018-10-22 00:00:00 | 42.6737 |            0 |             0 |     -5.5052    |  -30.4353   |
