+---------------------+---------------------+----------+--------------+---------------+----------------+--------------+
| Date                | Date                |    Close |   Buy Signal |   Sell Signal |   Buy and Hold |     Strategy |
|---------------------+---------------------+----------+--------------+---------------+----------------+--------------|
| 1998-12-21 00:00:00 | 1998-12-21 00:00:00 |  15.4336 |            0 |             0 |     0          |     0        |
| 1998-12-28 00:00:00 | 1998-12-28 00:00:00 |  15.7953 |            0 |             1 |     0.361728   |     0.361728 |
| 1999-01-04 00:00:00 | 1999-01-04 00:00:00 |  16.2173 |            0 |             1 |     0.783743   |     1.14547  |
| 1999-01-11 00:00:00 | 1999-01-11 00:00:00 |  15.6647 |            0 |             1 |     0.231096   |     1.37657  |
| 1999-01-18 00:00:00 | 1999-01-18 00:00:00 |  15.1322 |            0 |             0 |    -0.301434   |     1.07513  |
| 1999-01-25 00:00:00 | 1999-01-25 00:00:00 |  15.6245 |            0 |             1 |     0.190913   |     1.26605  |
| 1999-02-01 00:00:00 | 1999-02-01 00:00:00 |  15.6446 |            0 |             1 |     0.211016   |     1.47706  |
| 1999-02-08 00:00:00 | 1999-02-08 00:00:00 |  15.6647 |            0 |             1 |     0.231096   |     1.70816  |
| 1999-02-15 00:00:00 | 1999-02-15 00:00:00 |  15.8456 |            0 |             1 |     0.411966   |     2.12012  |
| 1999-02-22 00:00:00 | 1999-02-22 00:00:00 |  15.7652 |            0 |             1 |     0.331579   |     2.4517   |
| 1999-03-01 00:00:00 | 1999-03-01 00:00:00 |  16.1872 |            0 |             1 |     0.753601   |     3.20531  |
| 1999-03-08 00:00:00 | 1999-03-08 00:00:00 |  16.3982 |            0 |             1 |     0.964609   |     4.16991  |
| 1999-03-15 00:00:00 | 1999-03-15 00:00:00 |  16.2977 |            0 |             1 |     0.864115   |     5.03403  |
| 1999-03-22 00:00:00 | 1999-03-22 00:00:00 |  16.0257 |            0 |             0 |     0.592125   |     5.62615  |
| 1999-03-29 00:00:00 | 1999-03-29 00:00:00 |  16.2678 |            0 |             0 |     0.834173   |     6.46033  |
| 1999-04-05 00:00:00 | 1999-04-05 00:00:00 |  16.6611 |            0 |             1 |     1.22751    |     7.68784  |
| 1999-04-12 00:00:00 | 1999-04-12 00:00:00 |  18.1235 |            0 |             1 |     2.68989    |    10.3777   |
| 1999-04-19 00:00:00 | 1999-04-19 00:00:00 |  18.3655 |            0 |             1 |     2.93194    |    13.3097   |
| 1999-04-26 00:00:00 | 1999-04-26 00:00:00 |  18.5168 |            0 |             1 |     3.08323    |    16.3929   |
| 1999-05-03 00:00:00 | 1999-05-03 00:00:00 |  19.364  |            0 |             1 |     3.9304     |    20.3233   |
| 1999-05-10 00:00:00 | 1999-05-10 00:00:00 |  18.7992 |            0 |             1 |     3.36562    |    23.6889   |
| 1999-05-17 00:00:00 | 1999-05-17 00:00:00 |  18.6278 |            0 |             1 |     3.19416    |    26.8831   |
| 1999-05-24 00:00:00 | 1999-05-24 00:00:00 |  18.1537 |            0 |             0 |     2.72015    |    29.6032   |
| 1999-05-31 00:00:00 | 1999-05-31 00:00:00 |  18.7891 |            0 |             0 |     3.35554    |    32.9588   |
| 1999-06-07 00:00:00 | 1999-06-07 00:00:00 |  18.5672 |            0 |             0 |     3.13366    |    36.0924   |
| 1999-06-14 00:00:00 | 1999-06-14 00:00:00 |  19.3842 |            0 |             1 |     3.95057    |    40.043    |
| 1999-06-21 00:00:00 | 1999-06-21 00:00:00 |  18.803  |            0 |             0 |     3.36939    |    43.4124   |
| 1999-06-28 00:00:00 | 1999-06-28 00:00:00 |  19.3685 |            0 |             0 |     3.93489    |    47.3473   |
| 1999-07-05 00:00:00 | 1999-07-05 00:00:00 |  19.3382 |            0 |             0 |     3.90459    |    51.2519   |
| 1999-07-12 00:00:00 | 1999-07-12 00:00:00 |  19.3584 |            0 |             0 |     3.92479    |    55.1767   |
| 1999-07-19 00:00:00 | 1999-07-19 00:00:00 |  19.1665 |            0 |             0 |     3.73294    |    58.9096   |
| 1999-07-26 00:00:00 | 1999-07-26 00:00:00 |  18.5606 |            0 |             0 |     3.12702    |    62.0366   |
| 1999-08-02 00:00:00 | 1999-08-02 00:00:00 |  18.4091 |            0 |             0 |     2.97555    |    65.0122   |
| 1999-08-09 00:00:00 | 1999-08-09 00:00:00 |  18.7525 |            0 |             0 |     3.3189     |    68.3311   |
| 1999-08-16 00:00:00 | 1999-08-16 00:00:00 |  18.8535 |            0 |             0 |     3.41989    |    71.751    |
| 1999-08-23 00:00:00 | 1999-08-23 00:00:00 |  19.1564 |            0 |             0 |     3.72283    |    75.4738   |
| 1999-08-30 00:00:00 | 1999-08-30 00:00:00 |  19.0554 |            0 |             0 |     3.62184    |    79.0956   |
| 1999-09-06 00:00:00 | 1999-09-06 00:00:00 |  19.1362 |            0 |             0 |     3.70263    |    82.7983   |
| 1999-09-13 00:00:00 | 1999-09-13 00:00:00 |  18.9545 |            0 |             0 |     3.52087    |    86.3191   |
| 1999-09-20 00:00:00 | 1999-09-20 00:00:00 |  18.1603 |            0 |             0 |     2.72672    |    89.0458   |
| 1999-09-27 00:00:00 | 1999-09-27 00:00:00 |  18.3627 |            0 |             0 |     2.92907    |    91.9749   |
| 1999-10-04 00:00:00 | 1999-10-04 00:00:00 |  19.0304 |            0 |             0 |     3.59681    |    95.5717   |
| 1999-10-11 00:00:00 | 1999-10-11 00:00:00 |  17.7051 |            0 |             0 |     2.27146    |    97.8432   |
