+---------------------+---------------------+-----------+--------------+---------------+----------------+---------------+
| Date                | Date                |     Close |   Buy Signal |   Sell Signal |   Buy and Hold |      Strategy |
|---------------------+---------------------+-----------+--------------+---------------+----------------+---------------|
| 1998-12-21 00:00:00 | 1998-12-21 00:00:00 |  24.7278  |            0 |             0 |      0         |     0         |
| 1998-12-28 00:00:00 | 1998-12-28 00:00:00 |  24.6805  |            0 |             0 |     -0.0472813 |    -0.0472813 |
| 1999-01-04 00:00:00 | 1999-01-04 00:00:00 |  26.3826  |            0 |             1 |      1.65483   |     1.60755   |
| 1999-01-11 00:00:00 | 1999-01-11 00:00:00 |  26.3117  |            0 |             1 |      1.5839    |     3.19145   |
| 1999-01-18 00:00:00 | 1999-01-18 00:00:00 |  26.288   |            0 |             1 |      1.56026   |     4.75171   |
| 1999-01-25 00:00:00 | 1999-01-25 00:00:00 |  28.6048  |            0 |             1 |      3.877     |     8.62871   |
| 1999-02-01 00:00:00 | 1999-02-01 00:00:00 |  26.7135  |            0 |             0 |      1.98579   |    10.6145    |
| 1999-02-08 00:00:00 | 1999-02-08 00:00:00 |  26.3117  |            0 |             0 |      1.5839    |    12.1984    |
| 1999-02-15 00:00:00 | 1999-02-15 00:00:00 |  25.9807  |            0 |             0 |      1.25294   |    13.4513    |
| 1999-02-22 00:00:00 | 1999-02-22 00:00:00 |  25.7679  |            0 |             0 |      1.04017   |    14.4915    |
| 1999-03-01 00:00:00 | 1999-03-01 00:00:00 |  26.2407  |            0 |             0 |      1.51298   |    16.0045    |
| 1999-03-08 00:00:00 | 1999-03-08 00:00:00 |  26.4299  |            0 |             0 |      1.70212   |    17.7066    |
| 1999-03-15 00:00:00 | 1999-03-15 00:00:00 |  26.8554  |            0 |             0 |      2.12763   |    19.8342    |
| 1999-03-22 00:00:00 | 1999-03-22 00:00:00 |  27.0681  |            0 |             0 |      2.34039   |    22.1746    |
| 1999-03-29 00:00:00 | 1999-03-29 00:00:00 |  28.1201  |            0 |             1 |      3.39237   |    25.567     |
| 1999-04-05 00:00:00 | 1999-04-05 00:00:00 |  29.5031  |            0 |             1 |      4.77535   |    30.3424    |
| 1999-04-12 00:00:00 | 1999-04-12 00:00:00 |  27.3755  |            0 |             0 |      2.64771   |    32.9901    |
| 1999-04-19 00:00:00 | 1999-04-19 00:00:00 |  28.7466  |            0 |             0 |      4.01885   |    37.0089    |
| 1999-04-26 00:00:00 | 1999-04-26 00:00:00 |  27.8483  |            0 |             0 |      3.12051   |    40.1294    |
| 1999-05-03 00:00:00 | 1999-05-03 00:00:00 |  27.9901  |            0 |             0 |      3.26236   |    43.3918    |
| 1999-05-10 00:00:00 | 1999-05-10 00:00:00 |  28.3684  |            0 |             0 |      3.6406    |    47.0324    |
| 1999-05-17 00:00:00 | 1999-05-17 00:00:00 |  28.4156  |            0 |             0 |      3.68788   |    50.7203    |
| 1999-05-24 00:00:00 | 1999-05-24 00:00:00 |  27.9429  |            0 |             0 |      3.2151    |    53.9354    |
| 1999-05-31 00:00:00 | 1999-05-31 00:00:00 |  28.2383  |            0 |             0 |      3.51058   |    57.446     |
| 1999-06-07 00:00:00 | 1999-06-07 00:00:00 |  27.7064  |            0 |             0 |      2.97869   |    60.4247    |
| 1999-06-14 00:00:00 | 1999-06-14 00:00:00 |  29.5504  |            0 |             0 |      4.82262   |    65.2473    |
| 1999-06-21 00:00:00 | 1999-06-21 00:00:00 |  29.3022  |            0 |             0 |      4.57439   |    69.8217    |
| 1999-06-28 00:00:00 | 1999-06-28 00:00:00 |  31.3707  |            0 |             1 |      6.64294   |    76.4646    |
| 1999-07-05 00:00:00 | 1999-07-05 00:00:00 |  32.3281  |            0 |             1 |      7.60036   |    84.065     |
| 1999-07-12 00:00:00 | 1999-07-12 00:00:00 |  33.1673  |            0 |             1 |      8.43959   |    92.5046    |
| 1999-07-19 00:00:00 | 1999-07-19 00:00:00 |  30.7797  |            0 |             0 |      6.05191   |    98.5565    |
| 1999-07-26 00:00:00 | 1999-07-26 00:00:00 |  30.2714  |            0 |             0 |      5.54365   |   104.1       |
| 1999-08-02 00:00:00 | 1999-08-02 00:00:00 |  29.9759  |            0 |             0 |      5.24814   |   109.348     |
| 1999-08-09 00:00:00 | 1999-08-09 00:00:00 |  30.6378  |            0 |             0 |      5.91008   |   115.258     |
| 1999-08-16 00:00:00 | 1999-08-16 00:00:00 |  30.3069  |            0 |             0 |      5.57911   |   120.837     |
| 1999-08-23 00:00:00 | 1999-08-23 00:00:00 |  31.5835  |            0 |             0 |      6.8557    |   127.693     |
| 1999-08-30 00:00:00 | 1999-08-30 00:00:00 |  32.5291  |            0 |             0 |      7.8013    |   135.494     |
| 1999-09-06 00:00:00 | 1999-09-06 00:00:00 |  32.9546  |            0 |             0 |      8.22683   |   143.721     |
| 1999-09-13 00:00:00 | 1999-09-13 00:00:00 |  32.6709  |            0 |             0 |      7.94315   |   151.664     |
| 1999-09-20 00:00:00 | 1999-09-20 00:00:00 |  31.087   |            0 |             0 |      6.35924   |   158.024     |
| 1999-09-27 00:00:00 | 1999-09-27 00:00:00 |  31.0161  |            0 |             0 |      6.28832   |   164.312     |
| 1999-10-04 00:00:00 | 1999-10-04 00:00:00 |  32.1626  |            0 |             0 |      7.43488   |   171.747     |
| 1999-10-11 00:00:00 | 1999-10-11 00:00:00 |  30.1532  |            0 |             0 |      5.42545   |   177.172     |
| 1999-10-18 00:00:00 | 1999-10-18 00:00:00 |  30.165   |            0 |             0 |      5.43728   |   182.61      |
| 1999-10-25 00:00:00 | 1999-10-25 00:00:00 |  32.1508  |            0 |             0 |      7.42306   |   190.033     |
| 1999-11-01 00:00:00 | 1999-11-01 00:00:00 |  33.0373  |            0 |             0 |      8.30957   |   198.342     |
| 1999-11-08 00:00:00 | 1999-11-08 00:00:00 |  34.2312  |            0 |             0 |      9.5034    |   207.846     |
| 1999-11-15 00:00:00 | 1999-11-15 00:00:00 |  35.9687  |            0 |             1 |     11.241     |   219.087     |
| 1999-11-22 00:00:00 | 1999-11-22 00:00:00 |  36.7134  |            0 |             1 |     11.9856    |   231.072     |
| 1999-11-29 00:00:00 | 1999-11-29 00:00:00 |  37.5408  |            0 |             1 |     12.813     |   243.885     |
| 1999-12-06 00:00:00 | 1999-12-06 00:00:00 |  37.5881  |            0 |             1 |     12.8603    |   256.746     |
| 1999-12-13 00:00:00 | 1999-12-13 00:00:00 |  39.0065  |            0 |             1 |     14.2787    |   271.024     |
