+---------------------+---------------------+---------+--------------+---------------+----------------+----------------+
| Date                | Date                |   Close |   Buy Signal |   Sell Signal |   Buy and Hold |       Strategy |
|---------------------+---------------------+---------+--------------+---------------+----------------+----------------|
| 1998-12-21 00:00:00 | 1998-12-21 00:00:00 | 15.303  |            0 |             0 |     0          |     0          |
| 1998-12-28 00:00:00 | 1998-12-28 00:00:00 | 15.3383 |            0 |             1 |     0.0353012  |     0.0353012  |
| 1999-01-04 00:00:00 | 1999-01-04 00:00:00 | 15.2765 |            0 |             1 |    -0.0264664  |     0.00883484 |
| 1999-01-11 00:00:00 | 1999-01-11 00:00:00 | 14.7558 |            0 |             0 |    -0.547159   |    -0.538324   |
| 1999-01-18 00:00:00 | 1999-01-18 00:00:00 | 14.341  |            0 |             0 |    -0.961954   |    -1.50028    |
| 1999-01-25 00:00:00 | 1999-01-25 00:00:00 | 15.1353 |            0 |             0 |    -0.167676   |    -1.66795    |
| 1999-02-01 00:00:00 | 1999-02-01 00:00:00 | 14.8441 |            0 |             0 |    -0.458914   |    -2.12687    |
| 1999-02-08 00:00:00 | 1999-02-08 00:00:00 | 14.7823 |            0 |             0 |    -0.520689   |    -2.64756    |
| 1999-02-15 00:00:00 | 1999-02-15 00:00:00 | 14.9058 |            0 |             0 |    -0.397128   |    -3.04469    |
| 1999-02-22 00:00:00 | 1999-02-22 00:00:00 | 14.9764 |            0 |             0 |    -0.32653    |    -3.37121    |
| 1999-03-01 00:00:00 | 1999-03-01 00:00:00 | 15.2941 |            0 |             0 |    -0.00882244 |    -3.38004    |
| 1999-03-08 00:00:00 | 1999-03-08 00:00:00 | 15.4971 |            0 |             0 |     0.194156   |    -3.18588    |
| 1999-03-15 00:00:00 | 1999-03-15 00:00:00 | 15.603  |            0 |             0 |     0.300054   |    -2.88583    |
| 1999-03-22 00:00:00 | 1999-03-22 00:00:00 | 15.2327 |            0 |             0 |    -0.0702238  |    -2.95605    |
| 1999-03-29 00:00:00 | 1999-03-29 00:00:00 | 14.9852 |            0 |             0 |    -0.317768   |    -3.27382    |
| 1999-04-05 00:00:00 | 1999-04-05 00:00:00 | 15.2593 |            0 |             0 |    -0.0436974  |    -3.31752    |
| 1999-04-12 00:00:00 | 1999-04-12 00:00:00 | 14.7907 |            0 |             0 |    -0.512267   |    -3.82978    |
| 1999-04-19 00:00:00 | 1999-04-19 00:00:00 | 15.0559 |            0 |             0 |    -0.247036   |    -4.07682    |
| 1999-04-26 00:00:00 | 1999-04-26 00:00:00 | 14.4371 |            0 |             0 |    -0.8659     |    -4.94272    |
| 1999-05-03 00:00:00 | 1999-05-03 00:00:00 | 14.72   |            0 |             0 |    -0.582988   |    -5.52571    |
| 1999-05-10 00:00:00 | 1999-05-10 00:00:00 | 14.5697 |            0 |             0 |    -0.733277   |    -6.25899    |
| 1999-05-17 00:00:00 | 1999-05-17 00:00:00 | 14.6669 |            0 |             0 |    -0.636033   |    -6.89502    |
| 1999-05-24 00:00:00 | 1999-05-24 00:00:00 | 14.2868 |            0 |             0 |    -1.01619    |    -7.91121    |
| 1999-05-31 00:00:00 | 1999-05-31 00:00:00 | 14.7465 |            0 |             0 |    -0.556476   |    -8.46769    |
| 1999-06-07 00:00:00 | 1999-06-07 00:00:00 | 13.9331 |            0 |             0 |    -1.36982    |    -9.83751    |
| 1999-06-14 00:00:00 | 1999-06-14 00:00:00 | 14.1719 |            0 |             0 |    -1.13112    |   -10.9686     |
| 1999-06-21 00:00:00 | 1999-06-21 00:00:00 | 13.9444 |            0 |             0 |    -1.3586     |   -12.3272     |
| 1999-06-28 00:00:00 | 1999-06-28 00:00:00 | 14.6988 |            0 |             0 |    -0.60413    |   -12.9314     |
| 1999-07-05 00:00:00 | 1999-07-05 00:00:00 | 14.5835 |            0 |             0 |    -0.71952    |   -13.6509     |
