+---------------------+---------------------+----------+--------------+---------------+----------------+--------------+
| Date                | Date                |    Close |   Buy Signal |   Sell Signal |   Buy and Hold |     Strategy |
|---------------------+---------------------+----------+--------------+---------------+----------------+--------------|
| 1998-12-21 00:00:00 | 1998-12-21 00:00:00 |  18.0085 |            0 |             0 |     0          |     0        |
| 1998-12-28 00:00:00 | 1998-12-28 00:00:00 |  18.1834 |            0 |             1 |     0.174849   |     0.174849 |
| 1999-01-04 00:00:00 | 1999-01-04 00:00:00 |  18.8718 |            0 |             1 |     0.863274   |     1.03812  |
| 1999-01-11 00:00:00 | 1999-01-11 00:00:00 |  18.7626 |            0 |             1 |     0.754007   |     1.79213  |
| 1999-01-18 00:00:00 | 1999-01-18 00:00:00 |  18.6533 |            0 |             1 |     0.644722   |     2.43685  |
| 1999-01-25 00:00:00 | 1999-01-25 00:00:00 |  19.0576 |            0 |             1 |     1.04904    |     3.48589  |
| 1999-02-01 00:00:00 | 1999-02-01 00:00:00 |  18.8827 |            0 |             1 |     0.874199   |     4.36009  |
| 1999-02-08 00:00:00 | 1999-02-08 00:00:00 |  18.7953 |            0 |             1 |     0.786781   |     5.14687  |
| 1999-02-15 00:00:00 | 1999-02-15 00:00:00 |  19.0685 |            0 |             1 |     1.05997    |     6.20684  |
| 1999-02-22 00:00:00 | 1999-02-22 00:00:00 |  19.0794 |            0 |             1 |     1.07089    |     7.27773  |
| 1999-03-01 00:00:00 | 1999-03-01 00:00:00 |  19.6914 |            0 |             1 |     1.68284    |     8.96057  |
| 1999-03-08 00:00:00 | 1999-03-08 00:00:00 |  19.757  |            0 |             1 |     1.74841    |    10.709    |
| 1999-03-15 00:00:00 | 1999-03-15 00:00:00 |  19.8553 |            0 |             1 |     1.84676    |    12.5557   |
| 1999-03-22 00:00:00 | 1999-03-22 00:00:00 |  19.5165 |            0 |             1 |     1.508      |    14.0637   |
| 1999-03-29 00:00:00 | 1999-03-29 00:00:00 |  19.5821 |            0 |             1 |     1.57356    |    15.6373   |
| 1999-04-05 00:00:00 | 1999-04-05 00:00:00 |  20.6967 |            0 |             1 |     2.68817    |    18.3255   |
| 1999-04-12 00:00:00 | 1999-04-12 00:00:00 |  20.0848 |            0 |             0 |     2.07623    |    20.4017   |
| 1999-04-19 00:00:00 | 1999-04-19 00:00:00 |  21.254  |            0 |             1 |     3.24548    |    23.6472   |
| 1999-04-26 00:00:00 | 1999-04-26 00:00:00 |  20.2815 |            0 |             0 |     2.27293    |    25.9201   |
| 1999-05-03 00:00:00 | 1999-05-03 00:00:00 |  20.4782 |            0 |             0 |     2.46962    |    28.3897   |
| 1999-05-10 00:00:00 | 1999-05-10 00:00:00 |  20.4563 |            0 |             0 |     2.44776    |    30.8375   |
| 1999-05-17 00:00:00 | 1999-05-17 00:00:00 |  20.3908 |            0 |             0 |     2.3822     |    33.2197   |
| 1999-05-24 00:00:00 | 1999-05-24 00:00:00 |  19.6586 |            0 |             0 |     1.65005    |    34.8697   |
| 1999-05-31 00:00:00 | 1999-05-31 00:00:00 |  20.2815 |            0 |             0 |     2.27293    |    37.1426   |
| 1999-06-07 00:00:00 | 1999-06-07 00:00:00 |  19.5603 |            0 |             0 |     1.55171    |    38.6944   |
| 1999-06-14 00:00:00 | 1999-06-14 00:00:00 |  20.2815 |            0 |             0 |     2.27293    |    40.9673   |
| 1999-06-21 00:00:00 | 1999-06-21 00:00:00 |  19.8444 |            0 |             0 |     1.83582    |    42.8031   |
| 1999-06-28 00:00:00 | 1999-06-28 00:00:00 |  20.5874 |            0 |             0 |     2.57889    |    45.382    |
| 1999-07-05 00:00:00 | 1999-07-05 00:00:00 |  20.7186 |            0 |             0 |     2.71002    |    48.092    |
| 1999-07-12 00:00:00 | 1999-07-12 00:00:00 |  20.8716 |            0 |             0 |     2.86301    |    50.955    |
| 1999-07-19 00:00:00 | 1999-07-19 00:00:00 |  20.1503 |            0 |             0 |     2.1418     |    53.0968   |
| 1999-07-26 00:00:00 | 1999-07-26 00:00:00 |  19.9099 |            0 |             0 |     1.90139    |    54.9982   |
| 1999-08-02 00:00:00 | 1999-08-02 00:00:00 |  19.145  |            0 |             0 |     1.13647    |    56.1347   |
| 1999-08-09 00:00:00 | 1999-08-09 00:00:00 |  19.298  |            0 |             0 |     1.28945    |    57.4241   |
| 1999-08-16 00:00:00 | 1999-08-16 00:00:00 |  19.5384 |            0 |             0 |     1.52985    |    58.954    |
| 1999-08-23 00:00:00 | 1999-08-23 00:00:00 |  19.5493 |            0 |             0 |     1.54078    |    60.4948   |
| 1999-08-30 00:00:00 | 1999-08-30 00:00:00 |  19.4401 |            0 |             0 |     1.43151    |    61.9263   |
| 1999-09-06 00:00:00 | 1999-09-06 00:00:00 |  19.5603 |            0 |             0 |     1.55171    |    63.478    |
| 1999-09-13 00:00:00 | 1999-09-13 00:00:00 |  19.7023 |            0 |             0 |     1.69376    |    65.1717   |
| 1999-09-20 00:00:00 | 1999-09-20 00:00:00 |  18.5658 |            0 |             0 |     0.557299   |    65.729    |
| 1999-09-27 00:00:00 | 1999-09-27 00:00:00 |  18.6861 |            0 |             0 |     0.677507   |    66.4065   |
| 1999-10-04 00:00:00 | 1999-10-04 00:00:00 |  19.2215 |            0 |             0 |     1.21296    |    67.6195   |
| 1999-10-11 00:00:00 | 1999-10-11 00:00:00 |  18.0413 |            0 |             0 |     0.0327797  |    67.6523   |
| 1999-10-18 00:00:00 | 1999-10-18 00:00:00 |  18.6642 |            0 |             0 |     0.655642   |    68.3079   |
| 1999-10-25 00:00:00 | 1999-10-25 00:00:00 |  19.7023 |            0 |             0 |     1.69376    |    70.0017   |
| 1999-11-01 00:00:00 | 1999-11-01 00:00:00 |  19.6805 |            0 |             0 |     1.67191    |    71.6736   |
| 1999-11-08 00:00:00 | 1999-11-08 00:00:00 |  20.3252 |            0 |             0 |     2.31664    |    73.9902   |
| 1999-11-15 00:00:00 | 1999-11-15 00:00:00 |  20.5    |            0 |             0 |     2.49148    |    76.4817   |
| 1999-11-22 00:00:00 | 1999-11-22 00:00:00 |  20.0629 |            0 |             0 |     2.05437    |    78.5361   |
| 1999-11-29 00:00:00 | 1999-11-29 00:00:00 |  20.4563 |            0 |             0 |     2.44776    |    80.9838   |
| 1999-12-06 00:00:00 | 1999-12-06 00:00:00 |  20.9043 |            0 |             0 |     2.89578    |    83.8796   |
| 1999-12-13 00:00:00 | 1999-12-13 00:00:00 |  21.1557 |            0 |             0 |     3.14712    |    87.0267   |
| 1999-12-20 00:00:00 | 1999-12-20 00:00:00 |  21.2868 |            0 |             1 |     3.27826    |    90.305    |
