+---------------------+---------------------+----------+--------------+---------------+----------------+---------------+
| Date                | Date                |    Close |   Buy Signal |   Sell Signal |   Buy and Hold |      Strategy |
|---------------------+---------------------+----------+--------------+---------------+----------------+---------------|
| 1998-12-21 00:00:00 | 1998-12-21 00:00:00 |  19.5857 |            0 |             0 |      0         |     0         |
| 1998-12-28 00:00:00 | 1998-12-28 00:00:00 |  19.6445 |            0 |             1 |      0.0587482 |     0.0587482 |
| 1999-01-04 00:00:00 | 1999-01-04 00:00:00 |  20.4199 |            0 |             1 |      0.834187  |     0.892935  |
| 1999-01-11 00:00:00 | 1999-01-11 00:00:00 |  19.6797 |            0 |             0 |      0.0939922 |     0.986927  |
| 1999-01-18 00:00:00 | 1999-01-18 00:00:00 |  19.903  |            0 |             0 |      0.317232  |     1.30416   |
| 1999-01-25 00:00:00 | 1999-01-25 00:00:00 |  20.6549 |            0 |             1 |      1.06916   |     2.37332   |
| 1999-02-01 00:00:00 | 1999-02-01 00:00:00 |  20.1379 |            0 |             0 |      0.552202  |     2.92552   |
| 1999-02-08 00:00:00 | 1999-02-08 00:00:00 |  20.1144 |            0 |             0 |      0.528706  |     3.45423   |
| 1999-02-15 00:00:00 | 1999-02-15 00:00:00 |  20.4317 |            0 |             0 |      0.845932  |     4.30016   |
| 1999-02-22 00:00:00 | 1999-02-22 00:00:00 |  20.5256 |            0 |             0 |      0.939924  |     5.24008   |
| 1999-03-01 00:00:00 | 1999-03-01 00:00:00 |  21.5478 |            0 |             1 |      1.9621    |     7.20218   |
| 1999-03-08 00:00:00 | 1999-03-08 00:00:00 |  21.9708 |            0 |             1 |      2.38508   |     9.58726   |
| 1999-03-15 00:00:00 | 1999-03-15 00:00:00 |  21.8533 |            0 |             1 |      2.26757   |    11.8548    |
| 1999-03-22 00:00:00 | 1999-03-22 00:00:00 |  21.3125 |            0 |             0 |      1.72674   |    13.5816    |
| 1999-03-29 00:00:00 | 1999-03-29 00:00:00 |  21.5006 |            0 |             0 |      1.91492   |    15.4965    |
| 1999-04-05 00:00:00 | 1999-04-05 00:00:00 |  22.7944 |            0 |             1 |      3.20872   |    18.7052    |
| 1999-04-12 00:00:00 | 1999-04-12 00:00:00 |  22.371  |            0 |             0 |      2.7853    |    21.4905    |
| 1999-04-19 00:00:00 | 1999-04-19 00:00:00 |  22.8415 |            0 |             1 |      3.25577   |    24.7463    |
| 1999-04-26 00:00:00 | 1999-04-26 00:00:00 |  22.0887 |            0 |             0 |      2.50302   |    27.2493    |
| 1999-05-03 00:00:00 | 1999-05-03 00:00:00 |  22.1828 |            0 |             0 |      2.59712   |    29.8464    |
| 1999-05-10 00:00:00 | 1999-05-10 00:00:00 |  22.1828 |            0 |             0 |      2.59712   |    32.4435    |
