+---------------------+---------------------+----------+----------+--------------+---------------+----------------+-------------+
| Date                | Date                |     Open |    Close |   Buy Signal |   Sell Signal |   Buy and Hold |    Strategy |
|---------------------+---------------------+----------+----------+--------------+---------------+----------------+-------------|
| 1999-05-03 00:00:00 | 1999-05-03 00:00:00 |  74.125  |  76      |            0 |             0 |      0         |      0      |
| 1999-05-10 00:00:00 | 1999-05-10 00:00:00 |  70.1875 |  73.375  |            0 |             0 |     -2.625     |     -2.625  |
| 1999-05-17 00:00:00 | 1999-05-17 00:00:00 |  67.5    |  69.125  |            0 |             0 |     -6.875     |     -9.5    |
| 1999-05-24 00:00:00 | 1999-05-24 00:00:00 |  67.9375 |  67      |            0 |             0 |     -9         |    -18.5    |
| 1999-05-31 00:00:00 | 1999-05-31 00:00:00 |  65.375  |  66.625  |            0 |             0 |     -9.375     |    -27.875  |
| 1999-06-07 00:00:00 | 1999-06-07 00:00:00 |  63.25   |  65.1875 |            0 |             0 |    -10.8125    |    -38.6875 |
| 1999-06-14 00:00:00 | 1999-06-14 00:00:00 |  64.8125 |  63.5    |            0 |             0 |    -12.5       |    -51.1875 |
| 1999-06-21 00:00:00 | 1999-06-21 00:00:00 |  66.25   |  66.6875 |            0 |             0 |     -9.3125    |    -60.5    |
| 1999-06-28 00:00:00 | 1999-06-28 00:00:00 |  70.9375 |  66.4375 |            0 |             0 |     -9.5625    |    -70.0625 |
| 1999-07-05 00:00:00 | 1999-07-05 00:00:00 |  67.25   |  70      |            0 |             0 |     -6         |    -76.0625 |
| 1999-07-12 00:00:00 | 1999-07-12 00:00:00 |  68.0625 |  68      |            0 |             0 |     -8         |    -84.0625 |
| 1999-07-19 00:00:00 | 1999-07-19 00:00:00 |  64.0625 |  68.25   |            0 |             0 |     -7.75      |    -91.8125 |
| 1999-07-26 00:00:00 | 1999-07-26 00:00:00 |  64.3125 |  64.25   |            0 |             0 |    -11.75      |   -103.562  |
| 1999-08-02 00:00:00 | 1999-08-02 00:00:00 |  56.25   |  64.25   |            0 |             0 |    -11.75      |   -115.312  |
| 1999-08-09 00:00:00 | 1999-08-09 00:00:00 |  63.125  |  56.5    |            0 |             0 |    -19.5       |   -134.812  |
| 1999-08-16 00:00:00 | 1999-08-16 00:00:00 |  62.3125 |  63      |            0 |             0 |    -13         |   -147.812  |
| 1999-08-23 00:00:00 | 1999-08-23 00:00:00 |  61.5625 |  62.8125 |            0 |             0 |    -13.1875    |   -161      |
| 1999-08-30 00:00:00 | 1999-08-30 00:00:00 |  63.125  |  61.75   |            0 |             0 |    -14.25      |   -175.25   |
| 1999-09-06 00:00:00 | 1999-09-06 00:00:00 |  63.0938 |  63      |            0 |             0 |    -13         |   -188.25   |
| 1999-09-13 00:00:00 | 1999-09-13 00:00:00 |  60.0625 |  62.1875 |            0 |             0 |    -13.8125    |   -202.062  |
| 1999-09-20 00:00:00 | 1999-09-20 00:00:00 |  61.9375 |  60.0625 |            0 |             0 |    -15.9375    |   -218      |
| 1999-09-27 00:00:00 | 1999-09-27 00:00:00 |  59.1875 |  62      |            0 |             0 |    -14         |   -232      |
| 1999-10-04 00:00:00 | 1999-10-04 00:00:00 |  63.9375 |  59.5    |            0 |             0 |    -16.5       |   -248.5    |
| 1999-10-11 00:00:00 | 1999-10-11 00:00:00 |  59.75   |  63.75   |            0 |             0 |    -12.25      |   -260.75   |
| 1999-10-18 00:00:00 | 1999-10-18 00:00:00 |  65.5    |  60.25   |            0 |             0 |    -15.75      |   -276.5    |
| 1999-10-25 00:00:00 | 1999-10-25 00:00:00 |  71      |  64.9375 |            0 |             0 |    -11.0625    |   -287.562  |
| 1999-11-01 00:00:00 | 1999-11-01 00:00:00 |  73.6875 |  70.5    |            0 |             0 |     -5.5       |   -293.062  |
| 1999-11-08 00:00:00 | 1999-11-08 00:00:00 |  79.75   |  73.5    |            0 |             0 |     -2.5       |   -295.562  |
| 1999-11-15 00:00:00 | 1999-11-15 00:00:00 |  79.9375 |  78.75   |            0 |             1 |      2.75      |   -292.812  |
| 1999-11-22 00:00:00 | 1999-11-22 00:00:00 |  77.3125 |  79.5    |            0 |             1 |      3.5       |   -289.312  |
| 1999-11-29 00:00:00 | 1999-11-29 00:00:00 |  79.0625 |  77.25   |            0 |             0 |      1.25      |   -288.062  |
| 1999-12-06 00:00:00 | 1999-12-06 00:00:00 |  82      |  79.1875 |            0 |             1 |      3.1875    |   -284.875  |
| 1999-12-13 00:00:00 | 1999-12-13 00:00:00 |  80.1875 |  81.5    |            0 |             1 |      5.5       |   -279.375  |
| 1999-12-20 00:00:00 | 1999-12-20 00:00:00 |  81      |  82      |            0 |             1 |      6         |   -273.375  |
| 1999-12-27 00:00:00 | 1999-12-27 00:00:00 |  94.1875 |  80.5    |            0 |             0 |      4.5       |   -268.875  |
| 2000-01-03 00:00:00 | 2000-01-03 00:00:00 |  82.5625 |  94.1875 |            0 |             1 |     18.1875    |   -250.688  |
| 2000-01-10 00:00:00 | 2000-01-10 00:00:00 |  85.625  |  81.75   |            0 |             0 |      5.75      |   -244.938  |
| 2000-01-17 00:00:00 | 2000-01-17 00:00:00 |  85.6875 |  85      |            0 |             0 |      9         |   -235.938  |
| 2000-01-24 00:00:00 | 2000-01-24 00:00:00 |  87      |  87.5    |            0 |             0 |     11.5       |   -224.438  |
| 2000-01-31 00:00:00 | 2000-01-31 00:00:00 |  84.6875 |  87      |            0 |             0 |     11         |   -213.438  |
| 2000-02-07 00:00:00 | 2000-02-07 00:00:00 |  85.125  |  84.4375 |            0 |             0 |      8.4375    |   -205      |
| 2000-02-14 00:00:00 | 2000-02-14 00:00:00 |  80.8125 |  85.125  |            0 |             0 |      9.125     |   -195.875  |
| 2000-02-21 00:00:00 | 2000-02-21 00:00:00 |  89.25   |  81.25   |            0 |             0 |      5.25      |   -190.625  |
| 2000-02-28 00:00:00 | 2000-02-28 00:00:00 | 102.5    |  89.25   |            0 |             0 |     13.25      |   -177.375  |
| 2000-03-06 00:00:00 | 2000-03-06 00:00:00 | 112.25   | 102.75   |            0 |             1 |     26.75      |   -150.625  |
| 2000-03-13 00:00:00 | 2000-03-13 00:00:00 | 116.5    | 107.5    |            0 |             1 |     31.5       |   -119.125  |
| 2000-03-20 00:00:00 | 2000-03-20 00:00:00 | 121.312  | 117.625  |            0 |             1 |     41.625     |    -77.5    |
| 2000-03-27 00:00:00 | 2000-03-27 00:00:00 | 105.25   | 118.25   |            0 |             1 |     42.25      |    -35.25   |
| 2000-04-03 00:00:00 | 2000-04-03 00:00:00 | 102.5    | 108.75   |            0 |             0 |     32.75      |     -2.5    |
| 2000-04-10 00:00:00 | 2000-04-10 00:00:00 |  82.75   | 104      |            0 |             0 |     28         |     25.5    |
| 2000-04-17 00:00:00 | 2000-04-17 00:00:00 |  88.8125 |  81.75   |            0 |             0 |      5.75      |     31.25   |
| 2000-04-24 00:00:00 | 2000-04-24 00:00:00 |  93.25   |  88.8125 |            0 |             0 |     12.8125    |     44.0625 |
| 2000-05-01 00:00:00 | 2000-05-01 00:00:00 |  89.875  |  93.25   |            0 |             0 |     17.25      |     61.3125 |
| 2000-05-08 00:00:00 | 2000-05-08 00:00:00 |  83.7812 |  86      |            0 |             0 |     10         |     71.3125 |
| 2000-05-15 00:00:00 | 2000-05-15 00:00:00 |  84.5625 |  83.8125 |            0 |             0 |      7.8125    |     79.125  |
| 2000-05-22 00:00:00 | 2000-05-22 00:00:00 |  69.8125 |  83.5    |            0 |             0 |      7.5       |     86.625  |
| 2000-05-29 00:00:00 | 2000-05-29 00:00:00 |  86.875  |  71.5    |            0 |             1 |     -4.5       |     82.125  |
| 2000-06-05 00:00:00 | 2000-06-05 00:00:00 |  83.25   |  86.875  |            0 |             0 |     10.875     |     93      |
| 2000-06-12 00:00:00 | 2000-06-12 00:00:00 |  89.9375 |  83.3125 |            0 |             0 |      7.3125    |    100.312  |
| 2000-06-19 00:00:00 | 2000-06-19 00:00:00 |  86      |  90.1875 |            0 |             0 |     14.1875    |    114.5    |
| 2000-06-26 00:00:00 | 2000-06-26 00:00:00 |  94.7812 |  86.75   |            0 |             0 |     10.75      |    125.25   |
| 2000-07-03 00:00:00 | 2000-07-03 00:00:00 |  94.9375 |  94.375  |            0 |             0 |     18.375     |    143.625  |
| 2000-07-10 00:00:00 | 2000-07-10 00:00:00 | 104.188  |  94.875  |            0 |             0 |     18.875     |    162.5    |
| 2000-07-17 00:00:00 | 2000-07-17 00:00:00 | 104.25   | 104.062  |            0 |             0 |     28.0625    |    190.562  |
| 2000-07-24 00:00:00 | 2000-07-24 00:00:00 |  98.5    | 104.75   |            0 |             0 |     28.75      |    219.312  |
| 2000-07-31 00:00:00 | 2000-07-31 00:00:00 | 111.25   |  96      |            0 |             0 |     20         |    239.312  |
| 2000-08-07 00:00:00 | 2000-08-07 00:00:00 | 119.875  | 111.5    |            0 |             0 |     35.5       |    274.812  |
| 2000-08-14 00:00:00 | 2000-08-14 00:00:00 | 117      | 118      |            0 |             1 |     42         |    316.812  |
| 2000-08-21 00:00:00 | 2000-08-21 00:00:00 | 119.375  | 116.938  |            0 |             0 |     40.9375    |    357.75   |
| 2000-08-28 00:00:00 | 2000-08-28 00:00:00 | 129.625  | 118.25   |            0 |             0 |     42.25      |    400      |
| 2000-09-04 00:00:00 | 2000-09-04 00:00:00 | 124.25   | 128.688  |            0 |             1 |     52.6875    |    452.688  |
| 2000-09-11 00:00:00 | 2000-09-11 00:00:00 | 124.875  | 127      |            0 |             1 |     51         |    503.688  |
| 2000-09-18 00:00:00 | 2000-09-18 00:00:00 | 114.875  | 124      |            0 |             0 |     48         |    551.688  |
| 2000-09-25 00:00:00 | 2000-09-25 00:00:00 | 114.062  | 116.125  |            0 |             0 |     40.125     |    591.812  |
| 2000-10-02 00:00:00 | 2000-10-02 00:00:00 | 108.875  | 113.125  |            0 |             0 |     37.125     |    628.938  |
| 2000-10-09 00:00:00 | 2000-10-09 00:00:00 | 101.5    | 107      |            0 |             0 |     31         |    659.938  |
| 2000-10-16 00:00:00 | 2000-10-16 00:00:00 | 104.938  |  99.75   |            0 |             0 |     23.75      |    683.688  |
| 2000-10-23 00:00:00 | 2000-10-23 00:00:00 |  93      | 104.688  |            0 |             0 |     28.6875    |    712.375  |
| 2000-10-30 00:00:00 | 2000-10-30 00:00:00 | 100.438  |  92.75   |            0 |             1 |     16.75      |    729.125  |
| 2000-11-06 00:00:00 | 2000-11-06 00:00:00 |  89.1875 |  98.375  |            0 |             0 |     22.375     |    751.5    |
| 2000-11-13 00:00:00 | 2000-11-13 00:00:00 |  88.0625 |  86.375  |            0 |             1 |     10.375     |    761.875  |
| 2000-11-20 00:00:00 | 2000-11-20 00:00:00 |  81.5    |  88      |            0 |             1 |     12         |    773.875  |
| 2000-11-27 00:00:00 | 2000-11-27 00:00:00 |  82      |  82.5    |            0 |             1 |      6.5       |    780.375  |
